Date,Open,High,Low,Close,Volume,Name
1/3/2006,82.45,82.55,80.81,82.06,11715200,IBM
1/4/2006,82.2,82.5,81.33,81.95,9840600,IBM
1/5/2006,81.4,82.9,81,82.5,7213500,IBM
1/6/2006,83.95,85.03,83.41,84.95,8197400,IBM
1/9/2006,84.1,84.25,83.38,83.73,6858200,IBM
1/10/2006,83.15,84.12,83.12,84.07,5701000,IBM
1/11/2006,84.37,84.81,83.4,84.17,5776500,IBM
1/12/2006,83.82,83.96,83.4,83.57,4926500,IBM
1/13/2006,83,83.45,82.5,83.17,6921700,IBM
1/17/2006,82.8,83.16,82.54,83,8761700,IBM
1/18/2006,84,84.7,83.52,84.46,11032800,IBM
1/19/2006,84.14,84.39,83.02,83.09,6484000,IBM
1/20/2006,83.04,83.05,81.25,81.36,8614500,IBM
1/23/2006,81.33,81.92,80.92,81.41,6114100,IBM
1/24/2006,81.39,82.15,80.8,80.85,6069000,IBM
1/25/2006,81.05,81.62,80.61,80.91,6374300,IBM
1/26/2006,81.5,81.65,80.59,80.72,7810200,IBM
1/27/2006,80.75,81.77,80.75,81.02,6103400,IBM
1/30/2006,80.21,81.81,80.21,81.63,5325100,IBM
1/31/2006,81.5,82,81.17,81.3,6771600,IBM
2/1/2006,80.9,82.24,80.65,81.94,5417100,IBM
2/2/2006,81.45,81.59,80.9,81.23,6198000,IBM
2/3/2006,80.55,80.77,79.72,79.97,9852700,IBM
2/6/2006,79.94,79.95,78.93,79.51,9568600,IBM
2/7/2006,79.5,80.19,79.3,79.85,5253600,IBM
2/8/2006,80.58,80.9,80.24,80.8,5030500,IBM
2/9/2006,80.4,80.8,79.5,80.4,7609200,IBM
2/10/2006,80.4,81.46,80.2,81.33,5371900,IBM
2/13/2006,81.33,81.91,80.18,80.44,5257400,IBM
2/14/2006,80.55,81.45,80.35,81.09,6075500,IBM
2/15/2006,80.86,81.5,80.5,80.85,5052000,IBM
2/16/2006,80.68,80.91,80.13,80.91,5310500,IBM
2/17/2006,80.91,81.03,80.13,80.71,5298900,IBM
2/21/2006,80.1,80.75,79.97,80.5,5839100,IBM
2/22/2006,80,81.65,79.97,81.35,5294300,IBM
2/23/2006,81.2,81.34,80.04,80.2,4979900,IBM
2/24/2006,80.65,80.65,79.85,80.1,3904100,IBM
2/27/2006,79.97,80.89,79.95,80.63,3787200,IBM
2/28/2006,80.1,80.55,79.71,80.24,5960700,IBM
3/1/2006,80.2,80.81,79.78,79.9,5211600,IBM
3/2/2006,79.55,80.21,79.54,79.94,4418800,IBM
3/3/2006,79.51,80.83,79.51,79.96,4354400,IBM
3/6/2006,79.91,80.64,79.9,80,4709500,IBM
3/7/2006,80.01,80.79,79.86,80.29,4330800,IBM
3/8/2006,80.25,81.6,80.25,81.14,5570000,IBM
3/9/2006,81.26,81.98,80.8,81.02,4310700,IBM
